时间,上海新增确诊病例,上海无症状感染者,深圳新增确诊病例,深圳无症状感染者,广东新增确诊病例,广东无症状感染者,新增确诊人数,新增死亡人数,新增疑似人数,新增治愈人数,现有确诊人数,累计治愈人数,累计死亡人,累计确诊人数,现有疑似人数,累计密切接触者,年份
9.9,0,0,0,0,0,0,17,0,1,47,756,89736,4636,95128,2,1168375,2021
9.10,0,0,0,0,0,1,25,0,2,50,731,89786,4636,95153,3,1169405,2021
9.11,0,0,0,0,0,0,46,0,0,37,740,89823,4636,95199,2,1170339,2021
9.12,0,0,0,0,0,0,49,0,0,38,751,89861,4636,95248,3,1171158,2021
9.13,0,0,0,0,0,0,92,0,0,33,810,89894,4636,95340,0,1174044,2021
9.14,0,0,0,0,0,0,73,0,1,46,837,89940,4636,95413,1,1175662,2021
9.15,0,0,0,0,0,0,80,0,0,40,877,89980,4636,95493,0,1177197,2021
9.16,0,0,0,0,0,0,84,0,2,45,916,90025,4636,95577,2,1177935,2021
9.17,0,0,0,0,0,0,46,0,0,49,913,90074,4636,95623,1,1179064,2021
9.18,0,0,0,0,0,0,66,0,0,52,927,90126,4636,95689,1,1179684,2021
9.19,0,0,0,0,0,0,49,0,2,34,942,90160,4636,95738,3,1180253,2021
9.20,0,0,0,0,0,0,72,0,2,34,980,90194,4636,95810,4,1180972,2021
9.21,0,0,0,0,0,0,41,0,2,37,984,90231,4636,95851,4,1182333,2021
9.22,0,0,0,0,0,0,43,0,2,37,990,90268,4636,95894,4,1183674,2021
9.23,0,0,0,0,0,0,54,0,1,35,1009,90303,4636,95948,2,1184228,2021
9.24,0,0,0,0,0,0,38,0,2,27,1020,90330,4636,95986,4,1186155,2021
9.25,0,0,0,0,0,0,29,0,0,36,1013,90366,4636,96015,4,1187461,2021
9.26,0,0,0,0,0,0,35,0,0,36,1012,90402,4636,96050,2,1188820,2021
9.27,0,0,0,0,0,0,31,0,0,61,982,90463,4636,96081,1,1194626,2021
9.28,0,0,0,0,0,0,25,0,0,58,949,90521,4636,96106,0,1196993,2021
9.29,0,0,0,0,0,0,22,0,1,63,908,90584,4636,96128,1,1198043,2021
9.30,0,0,0,0,0,0,34,0,2,50,892,90634,4636,96162,2,1199462,2021
10.1,0,0,0,0,0,0,41,0,0,43,890,90677,4636,96203,0,1200303,2021
10.2,0,0,0,0,0,0,28,0,0,50,868,90727,4636,96231,0,1200786,2021
10.3,0,0,0,0,0,0,27,0,0,38,857,90765,4636,96258,0,1201863,2021
10.4,0,0,0,0,0,0,26,0,1,27,856,90792,4636,96284,1,1202843,2021
10.5,0,0,0,0,0,0,26,0,0,44,838,90836,4636,96310,1,1203454,2021
10.6,0,0,0,0,0,0,25,0,1,53,810,90889,4636,96335,2,1204155,2021
10.7,0,0,0,0,0,0,22,0,0,46,786,90935,4636,96357,2,1204742,2021
10.8,0,0,0,0,0,0,17,0,1,37,766,90972,4636,96374,2,1205442,2021
10.9,0,0,0,0,0,0,24,0,0,59,731,91031,4636,96398,1,1206394,2021
10.10,0,0,0,0,0,0,25,0,0,43,713,91074,4636,96423,1,1206704,2021
10.11,0,0,0,0,0,0,12,0,0,56,669,91130,4636,96435,1,1207323,2021
10.12,0,0,0,0,0,0,22,0,1,46,645,91176,4636,96457,2,1207671,2021
10.13,0,0,0,0,0,0,21,0,0,36,630,91212,4636,96478,2,1208390,2021
10.14,0,0,0,0,0,0,10,0,1,84,556,91296,4636,96488,2,1208771,2021
10.15,0,0,0,0,0,0,14,0,0,49,521,91345,4636,96502,2,1209424,2021
10.16,0,0,0,0,0,0,20,0,0,23,518,91368,4636,96522,1,1211870,2021
10.17,0,0,0,0,0,0,24,0,0,26,516,91394,4636,96546,1,1212607,2021
10.18,0,0,0,0,0,0,25,0,1,27,514,91421,4636,96571,2,1213842,2021
10.19,0,0,0,0,0,0,30,0,0,39,505,91460,4636,96601,2,1216152,2021
10.20,0,0,0,0,0,0,21,0,0,34,492,91494,4636,96622,1,1218545,2021
10.21,0,0,0,0,0,0,43,0,0,17,518,91511,4636,96665,1,1222061,2021
10.22,0,0,0,0,0,0,50,0,1,19,549,91530,4636,96715,2,1224969,2021
10.23,0,0,0,0,0,0,43,0,0,28,564,91558,4636,96758,2,1227655,2021
10.24,0,0,0,0,0,0,39,0,1,30,573,91588,4636,96797,3,1230300,2021
10.25,0,0,0,0,0,0,43,0,1,13,603,91601,4636,96840,4,1233485,2021
10.26,0,0,0,0,0,0,59,0,0,19,643,91620,4636,96899,4,1237350,2021
10.27,0,0,0,0,0,0,39,0,0,23,659,91643,4636,96938,4,1240694,2021
10.28,0,0,0,0,0,0,64,0,1,22,701,91665,4636,97002,3,1244628,2021
10.29,0,0,0,0,0,0,78,0,0,16,763,91681,4636,97080,3,1249288,2021
10.30,0,0,0,0,0,0,71,0,3,20,814,91701,4636,97151,6,1252754,2021
10.31,0,0,0,0,0,0,92,0,1,37,869,91738,4636,97243,5,1255691,2021
11.1,0,0,0,0,0,0,71,0,2,28,912,91766,4636,97314,3,1258560,2021
11.2,0,0,0,0,0,0,109,0,1,21,1000,91787,4636,97423,3,1262122,2021
11.3,0,0,0,0,0,0,104,0,3,24,1080,91811,4636,97527,4,1266727,2021
11.4,0,0,0,0,0,0,78,0,1,29,1129,91840,4636,97605,4,1272333,2021
11.5,0,0,0,0,0,0,55,0,0,43,1141,91883,4636,97660,1,1274940,2021
11.6,0,0,0,0,0,0,74,0,2,46,1169,91929,4636,97734,3,1277806,2021
11.7,0,0,0,0,0,0,89,0,0,56,1202,91985,4636,97823,1,1281004,2021
11.8,0,0,0,0,0,0,62,0,0,42,1222,92027,4636,97885,1,1283647,2021
11.9,0,0,0,0,0,0,54,0,1,54,1222,92081,4636,97939,2,1285582,2021
11.10,0,0,0,0,0,0,62,0,0,38,1246,92119,4636,98001,2,1291844,2021
11.11,0,0,0,0,0,0,98,0,0,64,1280,92183,4636,98099,2,1293053,2021
11.12,0,0,0,0,0,0,75,0,1,46,1309,92229,4636,98174,3,1294716,2021
11.13,0,0,0,0,0,0,89,0,0,48,1350,92277,4636,98263,2,1295958,2021
11.14,0,0,0,0,0,0,52,0,2,55,1347,92332,4636,98315,4,1297645,2021
11.15,0,0,0,0,0,0,22,0,1,74,1295,92406,4636,98337,2,1298631,2021
11.16,0,0,0,0,0,0,31,0,2,69,1257,92475,4636,98368,4,1299515,2021
11.17,0,0,0,0,0,0,35,0,0,59,1233,92534,4636,98403,3,1300285,2021
11.18,0,0,0,0,0,0,24,0,0,51,1206,92585,4636,98427,2,1300757,2021
11.19,0,0,0,0,0,0,23,0,0,71,1158,92656,4636,98450,2,1301242,2021
11.20,0,0,0,0,0,0,17,0,1,77,1098,92733,4636,98467,3,1301951,2021
11.21,0,0,0,0,0,0,38,0,2,85,1051,92818,4636,98505,4,1302902,2021
11.22,0,0,0,0,0,0,19,0,0,64,1006,92882,4636,98524,3,1303584,2021
11.23,0,0,0,0,0,0,22,0,0,70,958,92952,4636,98546,1,1304284,2021
11.24,0,0,0,0,0,0,24,0,1,68,914,93020,4636,98570,2,1310344,2021
11.25,3,0,0,0,0,0,13,0,2,67,860,93087,4636,98583,4,1315485,2021
11.26,0,0,0,0,0,0,25,0,0,76,809,93163,4636,98608,2,1319872,2021
11.27,0,1,0,0,0,0,23,0,2,47,785,93210,4636,98631,3,1323851,2021
11.28,0,0,0,0,0,0,41,0,0,39,787,93249,4636,98672,3,1327083,2021
11.29,0,0,0,0,0,0,39,0,0,36,790,93285,4636,98711,3,1328055,2021
11.30,0,0,0,0,0,0,113,0,0,35,868,93320,4636,98824,2,1329260,2021
12.1,0,0,0,0,0,0,73,0,1,35,906,93355,4636,98897,2,1330782,2021
12.2,2,0,0,0,0,0,96,0,3,30,972,93385,4636,98993,5,1332534,2021
12.3,0,1,0,0,1,0,90,0,1,49,1013,93434,4636,99083,2,1334589,2021
12.4,0,0,0,0,0,0,59,0,0,36,1036,93470,4636,99142,1,1336954,2021
12.5,0,0,0,0,0,0,61,0,1,37,1060,93507,4636,99203,2,1339086,2021
12.6,0,0,0,0,0,0,94,0,2,47,1107,93554,4636,99297,3,1341664,2021
12.7,1,0,0,0,0,0,74,0,1,48,1133,93602,4636,99371,4,1344901,2021
12.8,0,0,0,0,0,0,83,0,0,26,1190,93628,4636,99454,2,1348974,2021
12.9,0,0,0,0,0,0,63,0,0,31,1222,93659,4636,99517,1,1352338,2021
12.10,0,0,0,0,0,0,87,0,0,37,1272,93696,4636,99604,1,1355094,2021
12.11,0,0,0,0,0,0,75,0,1,24,1323,93720,4636,99679,2,1358671,2021
12.12,0,0,0,0,0,0,101,0,0,43,1381,93763,4636,99780,2,1361008,2021
12.13,0,0,0,0,0,0,76,0,0,26,1431,93789,4636,99856,1,1369115,2021
12.14,0,0,0,0,2,2,67,0,0,38,1460,93827,4636,99923,1,1371391,2021
12.15,0,0,0,0,6,1,77,0,0,31,1506,93858,4636,100000,1,1373829,2021
12.16,0,0,0,0,2,0,76,0,3,26,1556,93884,4636,100076,4,1377744,2021
12.17,1,0,0,0,2,0,125,0,3,33,1648,93917,4636,100201,6,1380114,2021
12.18,0,1,0,0,3,0,83,0,2,46,1685,93963,4636,100284,5,1383104,2021
12.19,0,0,0,0,2,0,102,0,1,51,1736,94014,4636,100386,4,1386785,2021
12.20,0,0,0,0,6,0,81,0,0,49,1768,94063,4636,100467,1,1389524,2021
12.21,0,0,0,0,2,0,77,0,2,80,1765,94143,4636,100544,3,1394304,2021
12.22,0,0,0,0,1,0,100,0,0,42,1823,94185,4636,100644,3,1397457,2021
12.23,0,0,0,0,1,0,87,0,6,59,1851,94244,4636,100731,8,1401028,2021
12.24,4,0,0,0,0,0,140,0,6,110,1881,94354,4636,100871,10,1403530,2021
12.25,0,0,0,0,0,0,206,0,0,76,2011,94430,4636,101077,3,1406467,2021
12.26,2,0,0,0,1,0,200,0,4,53,2158,94483,4636,101277,6,1410265,2021
12.27,0,0,0,0,0,0,209,0,0,92,2275,94575,4636,101486,3,1413092,2021
12.28,0,0,0,0,0,0,197,0,2,57,2415,94632,4636,101683,3,1414788,2021
12.29,0,1,0,0,0,0,207,0,2,59,2563,94691,4636,101890,2,1418221,2021
12.30,0,0,0,0,0,0,195,0,1,42,2714,94733,4636,102083,2,1420758,2021
12.31,0,0,0,0,0,1,231,0,1,59,2886,94792,4636,102314,1,1423756,2021
1.1,0,0,0,0,0,0,191,0,1,64,3013,94856,4636,102505,1,1427650,2022
1.2,0,1,0,0,0,0,161,0,0,47,3127,94903,4636,102666,0,1431026,2022
1.3,0,2,0,0,0,0,175,0,3,46,3256,94949,4636,102841,3,1434795,2022
1.4,0,4,0,0,0,0,91,0,0,56,3291,95005,4636,102932,1,1438066,2022
1.5,0,0,0,0,0,0,189,0,2,198,3282,95203,4636,103121,2,1441120,2022
1.6,0,3,0,0,0,0,174,0,6,97,3359,95300,4636,103295,7,1444595,2022
1.7,0,5,2,0,2,0,159,0,1,151,3367,95451,4636,103454,1,1446939,2022
1.8,0,0,1,0,1,0,165,0,2,140,3392,95591,4636,103619,2,1450893,2022
1.9,0,0,1,0,1,0,157,0,3,145,3404,95736,4636,103776,3,1455102,2022
1.10,0,0,0,0,0,0,192,0,0,138,3458,95874,4636,103968,1,1458340,2022
1.11,0,0,7,1,7,1,221,0,1,203,3476,96077,4636,104189,1,1463589,2022
1.12,0,0,1,1,1,1,190,0,9,206,3460,96283,4636,104379,9,1466364,2022
1.13,2,3,0,0,1,0,201,0,9,230,3431,96513,4636,104580,13,1469816,2022
1.14,0,0,2,0,8,2,165,0,6,145,3451,96658,4636,104745,9,1474381,2022
1.15,0,3,0,0,1,1,119,0,9,109,3461,96767,4636,104864,14,1478462,2022
1.16,0,0,2,0,9,0,223,0,4,190,3494,96957,4636,105087,8,1483318,2022
1.17,0,0,0,0,5,0,171,0,3,135,3530,97092,4636,105258,8,1486846,2022
1.18,0,0,1,0,7,1,87,0,5,163,3454,97255,4636,105345,11,1489867,2022
1.19,0,0,0,0,2,2,66,0,3,223,3297,97478,4636,105411,10,1493645,2022
1.20,0,0,0,0,4,0,73,0,1,197,3173,97675,4636,105484,5,1496694,2022
1.21,0,0,0,0,3,0,63,0,0,175,3061,97850,4636,105547,4,1497939,2022
1.22,0,0,0,0,3,1,56,0,3,197,2920,98047,4636,105603,7,1500340,2022
1.23,0,0,0,0,1,0,57,0,1,223,2754,98270,4636,105660,7,1502026,2022
1.24,1,0,0,0,0,0,45,0,0,183,2616,98453,4636,105705,6,1503506,2022
1.25,0,0,0,0,1,0,44,0,0,173,2487,98626,4636,105749,3,1505286,2022
1.26,1,0,0,0,0,0,63,0,0,188,2361,98814,4636,105811,0,1506684,2022
1.27,0,0,0,0,0,0,64,0,3,157,2268,98971,4636,105875,3,1510597,2022
1.28,0,0,0,0,0,0,59,0,0,200,2127,99171,4636,105934,1,1514010,2022
1.29,0,0,0,0,0,0,81,0,1,182,2026,99353,4636,106015,1,1519457,2022
1.30,0,0,0,0,0,0,58,0,3,147,1937,99500,4636,106073,4,1522986,2022
1.31,0,0,1,0,1,0,66,0,0,119,1884,99619,4636,106139,0,1529275,2022
2.1,0,0,2,1,6,4,63,0,0,145,1802,99764,4636,106202,0,1533257,2022
2.2,0,0,4,0,9,1,39,0,0,100,1741,99864,4636,106241,0,1536152,2022
2.3,0,0,4,0,5,1,29,0,4,97,1673,99961,4636,106270,4,1539398,2022
2.4,0,0,2,0,6,0,27,0,0,129,1571,100090,4636,106297,2,1541240,2022
2.5,0,0,0,0,1,0,43,0,1,104,1510,100194,4636,106340,2,1543306,2022
2.6,0,0,3,0,4,0,79,0,1,94,1495,100288,4636,106419,1,1545664,2022
2.7,0,0,0,0,0,0,105,0,0,127,1473,100415,4636,106524,0,1547273,2022
2.8,0,0,0,0,0,0,110,0,0,88,1495,100503,4636,106634,0,1548704,2022
2.9,0,0,0,0,0,0,29,0,1,96,1428,100599,4636,106663,1,1551339,2022
2.10,0,0,0,0,0,0,101,0,0,105,1424,100704,4636,106764,0,1552962,2022
2.11,0,0,0,0,0,0,99,0,1,87,1436,100791,4636,106863,1,1555374,2022
2.12,0,0,1,0,1,0,67,0,0,106,1397,100897,4636,106930,0,1556902,2022
2.13,0,0,1,0,1,1,84,0,2,83,1398,100980,4636,107014,2,1559239,2022
2.14,0,0,2,0,2,0,80,0,2,80,1398,101060,4636,107094,3,1561451,2022
2.15,0,0,3,0,3,1,102,0,0,81,1419,101141,4636,107196,1,1564392,2022
2.16,0,0,6,2,7,2,92,0,3,91,1420,101232,4636,107288,3,1567039,2022
2.17,0,0,3,0,4,1,87,0,6,84,1423,101316,4636,107375,6,1570254,2022
2.18,0,0,3,0,3,0,137,0,4,78,1482,101394,4636,107512,4,1573894,2022
2.19,0,0,8,0,8,0,195,0,0,55,1622,101449,4636,107707,0,1578614,2022
2.20,0,2,6,1,6,1,144,0,3,42,1724,101491,4636,107851,3,1582455,2022
2.21,0,0,3,0,3,0,138,0,4,53,1809,101544,4636,107989,4,1586886,2022
2.22,0,0,7,1,7,2,205,0,2,54,1960,101598,4636,108194,3,1592507,2022
2.23,0,0,8,1,8,1,186,0,0,48,2098,101646,4636,108380,0,1599801,2022
2.24,0,1,8,5,8,5,224,0,7,68,2254,101714,4636,108604,7,1607712,2022
2.25,0,1,9,9,30,9,249,0,0,72,2431,101786,4636,108853,4,1615287,2022
2.26,0,1,26,4,48,5,239,0,7,82,2588,101868,4636,109092,9,1625299,2022
2.27,0,1,30,6,40,25,234,0,5,68,2754,101936,4636,109326,6,1633142,2022
2.28,0,3,23,5,31,25,200,0,9,81,2873,102017,4636,109526,11,1641681,2022
3.1,1,1,25,0,32,13,224,0,4,98,2999,102115,4636,109750,9,1652133,2022
3.2,3,5,23,2,28,6,214,0,5,119,3094,102234,4636,109964,9,1658062,2022
3.3,2,14,22,1,22,6,294,0,4,84,3304,102318,4636,110258,7,1664814,2022
3.4,3,16,21,0,46,18,281,0,5,120,3465,102438,4636,110539,11,1673729,2022
3.5,0,28,17,0,20,33,329,0,2,103,3691,102541,4636,110868,9,1684197,2022
3.6,3,45,19,0,69,104,327,0,4,181,3837,102722,4636,111195,13,1692210,2022
3.7,4,51,13,0,45,73,325,0,5,110,4052,102832,4636,111520,12,1702180,2022
3.8,3,62,6,0,7,20,337,0,15,181,4208,103013,4636,111857,22,1714781,2022
3.9,4,76,15,0,17,5,528,0,10,126,4610,103139,4636,112385,12,1729080,2022
3.10,11,64,9,2,11,167,555,0,3,141,5024,103280,4636,112940,7,1745633,2022
3.11,5,78,27,2,33,191,588,0,5,151,5461,103431,4636,113528,8,1763059,2022
3.12,1,64,60,6,62,194,1938,0,0,169,7230,103600,4636,115466,4,1786279,2022
3.13,41,128,75,11,79,151,1437,0,1,135,8531,103735,4636,116902,5,1813869,2022
3.14,9,130,39,21,48,68,3602,0,2,149,11984,103884,4636,120504,6,1844212,2022
3.15,5,197,55,37,59,54,1952,0,1,156,13780,104040,4636,122456,6,1883384,2022
3.16,8,150,71,20,83,70,1317,0,8,247,14850,104287,4636,123773,14,1919136,2022
3.17,57,203,69,36,74,61,2461,0,6,337,16974,104624,4636,126234,19,1959395,2022
3.18,8,366,46,31,47,48,2228,2,0,614,18586,105238,4638,128462,7,1989863,2022
3.19,17,492,49,17,51,27,1737,0,3,337,19986,105575,4638,130199,10,2022712,2022
3.20,24,734,33,11,38,16,2027,0,6,625,21388,106200,4638,132226,14,2053069,2022
3.21,31,865,23,5,25,5,2338,0,0,588,23138,106788,4638,134564,14,2080392,2022
3.22,4,977,13,5,15,12,2667,0,3,702,25103,107490,4638,137231,12,2105379,2022
3.23,4,979,5,4,8,8,2054,0,1,904,26253,108394,4638,139285,13,2126193,2022
3.24,27,1582,2,1,4,7,1366,0,5,725,26892,109119,4638,140651,16,2152648,2022
3.25,38,2231,2,5,4,7,1335,0,1,917,50,110036,4638,141986,13,2177326,2022
3.26,47,2631,0,3,2,8,1254,0,0,999,27567,111035,4638,143240,13,2212014,2022
3.27,50,3450,1,6,4,18,1275,0,6,1097,27745,112132,4638,144515,19,2236344,2022
3.28,96,4381,3,6,8,10,1293,0,0,1179,27859,113311,4638,145808,15,2258351,2022
3.29,326,5656,1,7,2,14,1629,0,2,1325,28163,114636,4638,147437,17,2282407,2022
3.30,355,5298,6,3,11,8,1839,0,2,1403,28599,116039,4638,149276,18,2306745,2022
3.31,358,4144,0,2,4,14,1827,0,2,1120,29306,117159,4638,151103,20,2337175,2022
4.1,260,6051,0,2,0,22,2129,0,0,4307,27128,121466,4638,153232,19,2363645,2022
4.2,438,7788,0,1,2,8,1506,0,0,2468,26167,123933,4638,154738,19,2390486,2022
4.3,425,8581,0,0,5,9,1405,0,0,1848,25724,125781,4638,156143,17,2418372,2022
4.4,268,13086,0,0,3,1,1235,0,0,1899,25060,127680,4638,157378,17,2456979,2022
4.5,311,16766,0,0,7,3,1415,0,0,1910,24565,129590,4638,158793,16,2498126,2022
4.6,322,19660,0,0,0,4,1323,0,4,1765,24123,131355,4638,160116,19,2538044,2022
4.7,824,20398,0,0,7,4,1576,0,4,1867,23832,133222,4638,161692,23,2582687,2022
4.8,1015,22609,1,0,5,5,1350,0,6,1996,23186,135218,4638,163042,29,2620524,2022
4.9,1006,23937,0,4,10,13,1351,0,0,1948,22589,137166,4638,164393,28,2656970,2022
4.10,914,25173,0,1,19,18,1184,0,0,1378,22395,138544,4638,165577,28,2687823,2022
4.11,994,22348,0,0,16,19,1272,0,0,1676,21991,140220,4638,166849,26,2715339,2022
4.12,1189,25141,0,0,22,9,1513,0,0,1678,21826,141898,4638,168362,26,2739650,2022
4.13,2573,25146,0,0,47,21,3020,0,0,2024,22822,143922,4638,171382,15,2769034,2022
4.14,3200,19872,0,0,22,19,3486,0,1,1430,24878,145352,4638,174868,16,2801989,2022
4.15,3590,19923,0,0,24,13,3896,0,0,2818,25956,148170,4638,178764,12,2825543,2022
4.16,3238,21582,0,0,29,11,3529,0,0,1600,27885,149770,4638,182293,12,2852563,2022
4.17,2417,19831,0,0,25,10,2742,3,0,1637,28987,151407,4641,185035,5,2876777,2022
4.18,3084,17332,0,0,20,5,3316,7,0,1912,30384,153319,4648,188351,5,2908653,2022
4.19,2494,16407,0,0,14,6,2761,7,1,2365,30773,155684,4655,191112,6,2937350,2022
4.20,2634,15861,0,0,8,4,2841,8,0,2183,31421,157869,4663,193953,2,3021806,2022
4.21,1931,15698,0,0,5,1,2133,11,0,2730,30813,160599,4674,196086,2,3061144,2022
4.22,2736,20634,0,0,8,2,2988,12,0,3127,30662,163726,4686,199074,2,3093236,2022
4.23,1401,19657,0,0,4,9,1580,39,0,2672,29531,166398,4725,200654,2,3131798,2022
4.24,2472,16983,0,0,3,3,2680,51,0,2982,29178,169380,4776,203334,2,3162375,2022
4.25,1661,15319,0,0,2,12,1923,52,0,2323,28726,171703,4828,205257,2,3200005,2022
4.26,1606,11956,0,0,33,8,1824,48,0,3728,26774,175431,4876,207081,0,3235941,2022
4.27,1292,9330,0,0,24,15,1503,47,0,2724,25506,178155,4923,208584,0,3290124,2022
4.28,5487,9545,0,0,7,7,5659,52,0,2796,28317,180951,4975,214243,0,3345519,2022
4.29,1249,8932,0,0,28,16,1424,47,0,3127,26567,184078,5022,215667,0,3394349,2022
4.30,788,7084,0,0,21,7,920,38,0,3447,24002,187525,5060,216587,0,3440464,2022
5.1,727,6606,0,0,23,2,865,32,0,4662,20173,192187,5092,217452,0,3476364,2022
5.2,274,5395,0,0,7,5,384,20,1,4271,16266,196458,5112,217836,1,3512074,2022
5.3,260,4722,0,0,12,4,362,16,0,2092,14520,198550,5128,218198,1,3546694,2022
5.4,261,4390,0,0,13,6,373,13,0,2125,12755,200675,5141,218571,0,3578073,2022
5.5,245,4024,0,0,13,1,374,12,0,1602,11515,202277,5153,218945,0,3605382,2022
5.6,253,3961,0,0,8,1,351,13,1,1878,9975,204155,5166,219296,1,3634625,2022
5.7,215,3760,0,0,21,3,329,8,0,1115,9181,205270,5174,219625,0,3662998,2022
5.8,322,3625,0,0,28,12,415,11,0,849,8736,206119,5185,220040,0,3692144,2022
5.9,234,2780,0,0,15,6,357,6,0,1019,8068,207138,5191,220397,0,3730326,2022
5.10,228,1259,0,0,10,10,324,7,0,817,7568,207955,5198,220721,0,3774376,2022
5.11,144,1305,0,0,3,2,237,5,1,571,7229,208526,5203,220958,1,3801166,2022
5.12,227,1869,0,0,11,3,331,2,0,614,6944,209140,5205,221289,1,3826863,2022
5.13,194,1487,0,0,4,2,276,1,0,866,6353,210006,5206,221565,0,3852915,2022
5.14,166,1203,0,0,1,0,239,3,0,448,6141,210454,5209,221804,0,3879227,2022
5.15,69,869,0,0,5,2,151,4,0,627,5661,211081,5213,221955,0,3899337,2022
5.16,77,746,0,0,15,2,175,1,0,476,5359,211557,5214,222130,0,3915237,2022
5.17,96,759,0,0,2,1,240,3,0,391,5205,211948,5217,222370,0,3932700,2022
5.18,82,637,0,0,1,1,212,1,0,394,5022,212342,5218,222582,0,3947706,2022
5.19,88,770,0,0,3,0,193,0,0,309,4906,212651,5218,222775,0,3960376,2022
5.20,84,784,0,0,9,2,201,1,0,391,4715,213042,5219,222976,0,3973934,2022
5.21,52,570,0,0,1,5,169,3,0,476,4405,213518,5222,223145,0,3991358,2022
